"id","fecha","activo","precio","volumen","cambio","sector"
106,"2024-03-24","GOOG","716.01",6256,"0.12","Retail"
107,"2024-03-06","GOOG","727.10",8055,"-3.77","Retail"
108,"2024-01-31","AMZN","952.92",1258,"-0.88","Auto"
109,"2024-04-11","GOOG","361.39",5282,"2.12","Tech"
110,"2024-04-26","AMZN","316.01",3454,"1.41","Retail"
111,"2024-01-14","MSFT","265.21",7857,"-0.47","Auto"
112,"2024-02-29","MSFT","440.86",4730,"4.76","Retail"
113,"2024-03-04","TSLA","484.61",2279,"-1.03","Auto"
114,"2024-06-18","AMZN","790.14",3826,"-3.78","Tech"
115,"2024-02-14","AMZN","639.99",4790,"-4.88","Retail"
116,"2024-01-12","AAPL","835.39",7631,"-1.62","Auto"
117,"2024-02-29","GOOG","419.69",9194,"-3.00","Tech"
118,"2024-03-29","AMZN","646.05",9542,"-1.42","Retail"
119,"2024-05-08","MSFT","200.15",2744,"4.47","Retail"
120,"2024-01-19","MSFT","209.69",8067,"-0.55","Retail"
121,"2024-06-22","GOOG","415.50",5602,"0.68","Retail"
122,"2024-05-14","MSFT","276.07",6815,"4.73","Tech"
123,"2024-06-15","AMZN","564.70",3034,"-1.54","Retail"
124,"2024-05-24","TSLA","628.19",9337,"2.59","Retail"
125,"2024-03-09","AMZN","186.48",5853,"4.32","Retail"
126,"2024-06-04","MSFT","448.52",2675,"-3.64","Auto"
127,"2024-03-13","AMZN","436.31",9432,"2.97","Tech"
128,"2024-04-19","MSFT","898.39",2167,"3.00","Auto"
129,"2024-03-14","GOOG","803.50",2901,"-3.59","Retail"
130,"2024-02-12","MSFT","653.41",2334,"-1.16","Auto"
131,"2024-02-29","TSLA","883.34",2107,"4.79","Tech"
132,"2024-02-25","GOOG","377.48",4747,"-3.32","Retail"
133,"2024-05-28","AMZN","899.04",9410,"3.23","Auto"
134,"2024-04-29","GOOG","713.91",6732,"-1.64","Tech"
135,"2024-03-10","AAPL","736.86",7229,"1.07","Retail"
136,"2024-01-13","MSFT","751.79",10875,"4.07","Retail"
137,"2024-05-04","AAPL","304.51",8206,"1.42","Tech"
138,"2024-06-02","TSLA","716.16",3127,"-4.89","Auto"
139,"2024-01-18","GOOG","807.86",3071,"-0.76","Tech"
140,"2024-05-23","MSFT","171.64",7272,"0.39","Tech"
141,"2024-06-06","TSLA","949.02",8767,"-0.82","Tech"
142,"2024-04-18","AMZN","554.80",9812,"-0.78","Tech"
143,"2024-06-28","MSFT","634.06",1893,"-4.06","Auto"
144,"2024-04-14","TSLA","964.66",4381,"-0.47","Tech"
145,"2024-01-21","MSFT","678.27",3157,"-3.47","Auto"
146,"2024-02-23","GOOG","928.48",1712,"-3.55","Tech"
147,"2024-04-20","TSLA","288.83",3306,"-2.29","Tech"
148,"2024-03-03","GOOG","451.93",9581,"1.88","Retail"
149,"2024-02-09","AMZN","524.81",6934,"-1.28","Tech"
150,"2024-03-13","AAPL","121.72",4778,"-2.06","Retail"
151,"2024-02-08","AAPL","849.09",10214,"0.74","Tech"
152,"2024-03-03","AAPL","513.85",1750,"3.32","Tech"
153,"2024-01-16","MSFT","181.74",2462,"-3.70","Retail"
154,"2024-02-17","AAPL","686.06",6941,"-3.64","Retail"
155,"2024-06-08","TSLA","638.37",9709,"0.14","Auto"
156,"2024-02-20","GOOG","862.41",4278,"-1.02","Retail"
157,"2024-02-12","MSFT","284.69",2690,"1.54","Tech"
158,"2024-03-26","AMZN","213.53",4789,"-0.49","Auto"
159,"2024-01-30","TSLA","140.74",10986,"-0.95","Tech"
160,"2024-01-16","AMZN","356.37",2725,"1.65","Retail"
161,"2024-03-27","MSFT","999.20",5195,"0.54","Auto"
162,"2024-03-09","GOOG","294.39",5970,"2.89","Retail"
163,"2024-06-14","AMZN","646.43",5216,"-2.27","Retail"
164,"2024-05-29","TSLA","890.55",4357,"-1.94","Retail"
165,"2024-05-13","GOOG","178.31",6644,"4.38","Retail"
166,"2024-04-13","MSFT","643.49",4473,"4.07","Auto"
167,"2024-03-17","MSFT","828.77",8472,"2.16","Tech"
168,"2024-04-08","AAPL","132.39",1372,"3.39","Retail"
169,"2024-06-29","GOOG","683.87",8207,"-2.23","Auto"
170,"2024-04-25","TSLA","713.25",9315,"0.30","Auto"
171,"2024-01-14","AAPL","497.17",9772,"4.55","Tech"
172,"2024-05-25","AMZN","828.05",9936,"-2.25","Tech"
173,"2024-02-23","AAPL","981.53",3600,"0.72","Tech"
174,"2024-01-03","AMZN","153.66",9593,"4.10","Retail"
175,"2024-01-09","GOOG","598.84",2793,"-0.77","Tech"
176,"2024-04-15","GOOG","702.06",3262,"-2.84","Retail"
177,"2024-06-19","TSLA","578.01",1374,"-2.52","Tech"
178,"2024-01-03","GOOG","705.13",3576,"1.32","Tech"
179,"2024-06-09","MSFT","684.14",8041,"1.53","Tech"
180,"2024-02-23","AAPL","649.27",9893,"3.38","Auto"
181,"2024-03-13","GOOG","411.87",1114,"-3.08","Retail"
182,"2024-03-18","TSLA","365.03",5185,"-3.34","Auto"
183,"2024-03-19","AAPL","584.75",5153,"0.52","Tech"
184,"2024-06-09","GOOG","629.13",2488,"4.94","Auto"
185,"2024-03-03","AMZN","749.79",1135,"4.28","Tech"
186,"2024-01-22","TSLA","492.48",3188,"-4.56","Auto"
187,"2024-01-08","AAPL","160.65",1421,"2.85","Auto"
188,"2024-06-16","GOOG","901.49",1252,"2.16","Retail"
189,"2024-06-19","MSFT","692.78",5813,"-4.79","Auto"
190,"2024-06-12","GOOG","475.68",1168,"-2.44","Auto"
191,"2024-01-09","GOOG","690.95",4932,"-2.76","Retail"
192,"2024-03-11","TSLA","656.65",7201,"-3.05","Auto"
193,"2024-02-22","AAPL","370.76",2949,"-2.87","Retail"
194,"2024-03-22","AAPL","631.03",5517,"1.16","Tech"
195,"2024-01-17","MSFT","457.13",9556,"-3.39","Auto"
196,"2024-03-04","AAPL","884.27",9535,"0.92","Auto"
197,"2024-06-17","AMZN","823.34",4262,"0.55","Retail"
198,"2024-02-18","MSFT","537.45",1665,"-2.69","Retail"
199,"2024-06-24","TSLA","303.03",4046,"-3.05","Retail"
200,"2024-03-10","AAPL","599.71",3959,"3.28","Retail"
201,"2024-01-19","TSLA","270.30",1662,"1.51","Auto"
202,"2024-03-03","MSFT","846.17",5278,"-2.05","Tech"
203,"2024-06-14","AAPL","743.34",3237,"1.19","Auto"
204,"2024-04-29","AMZN","147.71",2467,"1.21","Auto"
205,"2024-02-21","AMZN","393.93",1474,"1.85","Tech"
206,"2024-02-16","AAPL","496.49",2453,"0.94","Tech"
207,"2024-02-08","TSLA","603.88",6762,"2.05","Retail"
208,"2024-04-17","TSLA","492.23",1987,"-0.98","Retail"
209,"2024-06-15","GOOG","826.39",4396,"-3.50","Retail"
210,"2024-04-27","GOOG","303.51",1208,"-1.20","Tech"
211,"2024-06-01","TSLA","429.78",4509,"2.25","Auto"
212,"2024-03-16","AMZN","105.98",9267,"-4.28","Tech"
213,"2024-06-20","GOOG","259.95",7137,"-3.96","Auto"
214,"2024-06-15","TSLA","273.67",5653,"1.75","Retail"
215,"2024-05-05","TSLA","916.34",4132,"-3.19","Retail"
216,"2024-01-27","TSLA","431.17",10755,"-1.19","Auto"
217,"2024-05-06","GOOG","826.26",5255,"3.50","Auto"
218,"2024-03-04","TSLA","160.06",3327,"-0.77","Auto"
219,"2024-06-23","GOOG","946.76",4264,"-1.45","Tech"
220,"2024-06-15","TSLA","507.97",1118,"-4.13","Retail"
221,"2024-04-25","TSLA","998.25",3667,"2.88","Auto"
222,"2024-01-09","AMZN","225.12",5224,"-2.26","Tech"
223,"2024-03-26","AMZN","781.82",8187,"-4.80","Auto"
224,"2024-01-10","MSFT","421.11",3746,"-2.92","Auto"
225,"2024-04-05","GOOG","607.88",8158,"-4.01","Auto"
226,"2024-06-17","TSLA","706.88",6209,"2.55","Auto"
227,"2024-05-26","AAPL","473.60",9682,"0.37","Tech"
228,"2024-02-09","MSFT","631.06",6705,"-4.45","Auto"
229,"2024-06-21","TSLA","929.32",3587,"1.02","Auto"
230,"2024-06-15","AMZN","409.96",8335,"-2.65","Tech"
231,"2024-05-23","AMZN","810.19",5376,"1.18","Retail"
232,"2024-05-23","GOOG","422.97",1587,"0.91","Auto"
233,"2024-04-26","AAPL","125.17",7264,"1.27","Tech"
234,"2024-04-17","TSLA","262.92",6258,"4.11","Tech"
235,"2024-01-18","GOOG","479.70",7158,"-4.92","Tech"
236,"2024-04-18","MSFT","729.03",3612,"3.92","Tech"
237,"2024-01-03","MSFT","757.68",3947,"-0.94","Auto"
238,"2024-02-29","AMZN","555.39",4415,"-0.36","Retail"
239,"2024-03-13","MSFT","963.38",5759,"3.04","Tech"
240,"2024-04-14","MSFT","562.12",1281,"-4.29","Auto"
241,"2024-04-29","GOOG","552.31",1980,"-2.17","Auto"
242,"2024-01-17","GOOG","987.28",2614,"1.86","Tech"
243,"2024-06-05","TSLA","249.63",4768,"-2.42","Tech"
244,"2024-06-21","AAPL","750.20",6301,"-0.87","Retail"
245,"2024-06-24","GOOG","157.90",8178,"-1.16","Tech"
246,"2024-05-04","TSLA","993.83",6592,"-0.08","Auto"
247,"2024-04-20","TSLA","253.13",4481,"1.69","Auto"
248,"2024-03-09","AAPL","886.43",10356,"1.71","Tech"
249,"2024-02-17","GOOG","815.84",3013,"4.04","Tech"
250,"2024-04-18","AMZN","146.40",4331,"-0.11","Tech"
251,"2024-03-31","MSFT","892.10",7850,"4.62","Auto"
252,"2024-03-05","GOOG","287.70",6161,"1.93","Tech"
253,"2024-04-11","MSFT","796.13",2604,"1.87","Auto"
254,"2024-02-24","AMZN","488.12",10191,"1.91","Auto"
255,"2024-04-15","GOOG","648.58",2713,"-2.84","Tech"
256,"2024-04-02","AMZN","474.85",6167,"-4.00","Tech"
257,"2024-05-01","GOOG","266.03",5917,"-0.87","Auto"
258,"2024-02-05","TSLA","582.28",1407,"-3.88","Auto"
259,"2024-06-07","AAPL","757.05",6894,"-0.78","Auto"
260,"2024-01-26","GOOG","795.03",10571,"3.32","Retail"
261,"2024-05-09","AAPL","210.72",4165,"3.57","Retail"
262,"2024-06-26","AMZN","974.56",6752,"2.40","Auto"
263,"2024-04-18","TSLA","853.43",10530,"-1.87","Tech"
264,"2024-03-30","AMZN","646.34",1512,"-3.61","Tech"
265,"2024-02-01","AAPL","464.98",6659,"3.21","Retail"
266,"2024-03-28","TSLA","684.57",2162,"3.91","Auto"
267,"2024-03-05","GOOG","910.26",6610,"-1.15","Auto"
268,"2024-02-09","AAPL","869.98",3066,"2.27","Auto"
269,"2024-03-20","AAPL","320.04",8276,"0.23","Retail"
270,"2024-01-28","AAPL","285.72",2023,"-4.04","Tech"
271,"2024-05-23","MSFT","697.57",3655,"-2.06","Retail"
272,"2024-03-12","AMZN","702.95",1835,"2.97","Retail"
273,"2024-05-08","GOOG","599.73",2024,"1.90","Auto"
274,"2024-06-17","MSFT","141.35",10223,"2.64","Tech"
275,"2024-04-03","TSLA","272.80",7953,"3.19","Tech"
276,"2024-06-21","AAPL","650.70",5358,"-2.76","Auto"
277,"2024-03-12","AMZN","809.10",9221,"-0.50","Retail"
278,"2024-01-12","AMZN","314.66",1177,"4.58","Retail"
279,"2024-05-06","AAPL","779.46",7544,"1.29","Tech"
280,"2024-06-04","AAPL","646.56",1334,"4.72","Tech"
281,"2024-06-20","MSFT","740.61",3958,"-1.89","Tech"
282,"2024-03-09","AMZN","997.28",5856,"1.75","Tech"
283,"2024-05-12","TSLA","874.33",8928,"-3.38","Auto"
284,"2024-01-19","MSFT","112.13",9243,"0.99","Tech"
285,"2024-01-25","AMZN","907.33",6481,"-2.82","Tech"
286,"2024-01-07","MSFT","557.77",5697,"-0.99","Tech"
287,"2024-05-07","MSFT","222.03",4092,"2.04","Retail"
288,"2024-04-29","MSFT","424.28",5733,"4.55","Retail"
289,"2024-02-16","GOOG","560.95",9210,"0.45","Tech"
290,"2024-03-24","GOOG","435.91",7128,"-2.99","Tech"
291,"2024-03-23","TSLA","930.07",5564,"2.15","Tech"
292,"2024-02-04","TSLA","539.17",3938,"-0.38","Retail"
293,"2024-04-25","MSFT","643.85",7799,"3.07","Auto"
294,"2024-06-25","MSFT","274.35",6558,"1.99","Auto"
295,"2024-02-13","TSLA","467.86",5369,"1.92","Tech"
296,"2024-01-20","AMZN","647.57",9086,"3.33","Tech"
297,"2024-04-13","TSLA","766.83",3035,"1.48","Tech"
298,"2024-01-06","TSLA","948.29",9828,"2.16","Auto"
299,"2024-04-09","AAPL","327.95",9421,"2.83","Retail"
300,"2024-06-01","GOOG","808.05",1650,"4.41","Tech"
301,"2024-03-10","AMZN","379.07",9037,"0.20","Auto"
302,"2024-01-30","AAPL","991.06",5766,"-2.31","Tech"
303,"2024-05-24","GOOG","628.41",6832,"1.52","Retail"
304,"2024-01-30","AAPL","533.25",8642,"2.11","Retail"
305,"2024-04-09","TSLA","395.13",8526,"-1.13","Tech"
306,"2024-05-19","AAPL","661.31",2596,"2.77","Tech"
307,"2024-03-29","GOOG","215.32",2852,"1.68","Retail"
308,"2024-05-15","AMZN","185.07",4968,"0.00","Retail"
309,"2024-04-10","AMZN","263.57",7215,"-2.38","Retail"
310,"2024-02-09","MSFT","869.01",6341,"-1.11","Retail"
311,"2024-01-31","MSFT","522.29",4709,"-2.22","Tech"
312,"2024-05-29","TSLA","902.79",3361,"1.54","Retail"
313,"2024-03-23","AAPL","429.46",7733,"4.89","Tech"
314,"2024-04-11","AMZN","725.94",10725,"1.20","Tech"
315,"2024-02-01","TSLA","541.78",9166,"2.06","Auto"
316,"2024-06-16","AMZN","629.59",4508,"1.22","Tech"
317,"2024-02-22","TSLA","940.87",9335,"-1.44","Tech"
318,"2024-02-23","TSLA","277.41",1239,"4.80","Tech"
319,"2024-06-19","GOOG","247.45",7557,"-2.35","Tech"
320,"2024-04-13","AAPL","508.33",10289,"2.85","Retail"
321,"2024-01-11","GOOG","757.30",2394,"3.04","Retail"
322,"2024-06-01","GOOG","896.73",1881,"2.19","Retail"
323,"2024-06-22","AAPL","243.68",5135,"-0.14","Tech"
324,"2024-06-19","AAPL","896.12",7535,"-0.51","Auto"
325,"2024-01-30","GOOG","364.12",10627,"-3.08","Tech"
326,"2024-06-02","AMZN","808.18",8096,"3.68","Tech"
327,"2024-02-19","AMZN","216.60",7384,"-0.05","Auto"
328,"2024-01-24","MSFT","690.37",6661,"-1.54","Auto"
329,"2024-05-22","GOOG","149.45",8461,"-1.49","Retail"
330,"2024-04-30","MSFT","419.39",1984,"-1.14","Auto"
331,"2024-01-12","AMZN","661.02",5753,"-2.48","Retail"
332,"2024-03-28","AAPL","320.66",4248,"-4.13","Retail"
333,"2024-01-10","TSLA","732.48",10296,"4.05","Auto"
334,"2024-06-05","MSFT","923.19",4488,"-1.73","Tech"
335,"2024-06-15","MSFT","753.97",3679,"1.65","Auto"
336,"2024-03-26","AMZN","871.38",6745,"-2.47","Auto"
337,"2024-04-29","AMZN","103.23",2516,"0.46","Auto"
338,"2024-04-27","GOOG","813.34",10179,"3.32","Auto"
339,"2024-02-06","AAPL","189.75",3115,"4.48","Auto"
340,"2024-06-18","GOOG","814.50",3152,"-0.42","Tech"
341,"2024-06-24","AMZN","649.30",10611,"3.47","Tech"
342,"2024-03-05","GOOG","157.97",7681,"0.88","Tech"
343,"2024-04-01","TSLA","801.40",7850,"4.57","Tech"
344,"2024-02-29","AAPL","925.37",2594,"4.69","Retail"
345,"2024-04-26","AAPL","962.87",1001,"-2.92","Retail"
346,"2024-06-28","AMZN","869.77",3354,"0.39","Auto"
347,"2024-05-12","AAPL","901.92",9249,"3.43","Retail"
348,"2024-03-25","AMZN","994.11",6678,"-1.39","Retail"
349,"2024-03-01","MSFT","401.67",4528,"4.00","Auto"
350,"2024-06-08","MSFT","779.47",3417,"-0.40","Auto"
351,"2024-04-25","AAPL","860.38",5985,"1.29","Tech"
352,"2024-03-05","GOOG","332.25",4251,"-4.41","Auto"
353,"2024-02-16","MSFT","263.31",4610,"-1.39","Retail"
354,"2024-03-11","AAPL","863.15",5074,"-4.73","Retail"
355,"2024-01-15","AMZN","612.20",4052,"0.21","Retail"
356,"2024-01-24","MSFT","315.50",10005,"4.83","Tech"
357,"2024-03-14","TSLA","656.71",8112,"3.26","Auto"
358,"2024-04-26","TSLA","711.41",5182,"1.73","Retail"
359,"2024-03-23","GOOG","610.36",9643,"-1.73","Tech"
360,"2024-03-03","AAPL","152.88",4116,"1.92","Retail"
361,"2024-02-03","GOOG","370.83",5246,"5.00","Retail"
362,"2024-05-31","GOOG","579.28",3855,"-2.62","Retail"
363,"2024-06-10","AAPL","514.07",1284,"0.23","Tech"
364,"2024-03-01","MSFT","475.45",4915,"1.67","Tech"
365,"2024-05-31","AAPL","189.95",6315,"4.92","Auto"
366,"2024-01-12","TSLA","130.74",10543,"-1.86","Auto"
367,"2024-01-24","MSFT","323.73",9077,"-3.42","Tech"
368,"2024-02-07","GOOG","185.96",6429,"2.36","Auto"
369,"2024-01-13","TSLA","679.93",2344,"-4.21","Auto"
370,"2024-04-04","GOOG","260.11",9653,"4.73","Tech"
371,"2024-03-22","AAPL","110.72",4089,"-4.11","Auto"
372,"2024-06-27","TSLA","151.87",3852,"3.21","Auto"
373,"2024-04-27","GOOG","872.99",9611,"-1.46","Retail"
374,"2024-02-02","AMZN","781.39",8350,"-4.27","Retail"
375,"2024-01-03","TSLA","908.24",5146,"1.06","Tech"
376,"2024-05-15","MSFT","115.21",3551,"3.79","Retail"
377,"2024-04-04","AMZN","152.81",6324,"-4.48","Retail"
378,"2024-02-06","MSFT","743.10",7649,"-4.00","Retail"
379,"2024-04-07","AMZN","843.55",5244,"-2.34","Auto"
380,"2024-04-26","TSLA","732.13",7304,"-1.05","Auto"
381,"2024-01-05","GOOG","763.90",9790,"-1.46","Tech"
382,"2024-04-15","MSFT","195.48",5452,"-4.58","Tech"
383,"2024-05-26","GOOG","912.29",3205,"3.78","Retail"
384,"2024-02-23","AAPL","887.11",2245,"0.32","Retail"
385,"2024-01-07","TSLA","537.22",9979,"4.38","Tech"
386,"2024-03-16","AMZN","804.72",3857,"3.66","Tech"
387,"2024-03-19","MSFT","457.31",5611,"-4.26","Retail"
388,"2024-01-02","TSLA","176.49",10296,"-4.31","Auto"
389,"2024-06-20","TSLA","593.30",4098,"1.48","Tech"
390,"2024-03-22","GOOG","789.91",6390,"-1.86","Retail"
391,"2024-04-20","GOOG","815.89",5925,"-2.10","Retail"
392,"2024-01-12","AMZN","964.61",6209,"0.66","Retail"
393,"2024-04-06","AAPL","365.38",8885,"-0.26","Tech"
394,"2024-02-04","AAPL","827.11",8315,"-2.23","Tech"
395,"2024-04-01","GOOG","409.73",5803,"-4.27","Auto"
396,"2024-05-04","MSFT","592.20",6228,"-1.05","Auto"
397,"2024-05-03","AMZN","446.26",6914,"1.66","Retail"
398,"2024-04-14","AMZN","186.28",8823,"1.64","Auto"
399,"2024-02-24","MSFT","628.52",3519,"-0.47","Tech"
400,"2024-02-25","MSFT","797.97",9259,"3.00","Tech"
401,"2024-04-22","AAPL","365.80",1415,"4.26","Tech"
402,"2024-05-02","MSFT","727.30",2564,"4.04","Retail"
403,"2024-06-19","TSLA","382.71",6920,"4.78","Auto"
404,"2024-05-30","GOOG","176.64",7730,"2.14","Auto"
405,"2024-02-11","MSFT","749.58",8784,"-4.58","Auto"
406,"2024-04-08","MSFT","246.93",9122,"-2.61","Auto"
407,"2024-02-25","AMZN","282.79",3033,"-4.35","Auto"
408,"2024-03-06","AAPL","941.44",7109,"0.60","Tech"
409,"2024-06-25","MSFT","357.41",4375,"-3.35","Retail"
410,"2024-04-10","MSFT","394.71",2466,"-3.62","Auto"
411,"2024-01-19","MSFT","232.75",9390,"0.56","Retail"
412,"2024-02-09","AAPL","326.00",7099,"-4.37","Tech"
413,"2024-06-09","MSFT","633.71",3367,"-3.45","Auto"
414,"2024-03-29","AAPL","568.81",3785,"-2.01","Retail"
415,"2024-06-07","AAPL","174.82",1447,"3.49","Auto"
416,"2024-04-16","TSLA","107.51",6199,"-4.59","Auto"
417,"2024-02-14","MSFT","988.46",8021,"4.91","Auto"
418,"2024-02-15","GOOG","830.15",6969,"2.96","Retail"
419,"2024-01-25","AAPL","206.80",1532,"-2.57","Retail"
420,"2024-02-19","AAPL","769.76",9326,"0.24","Tech"
421,"2024-04-06","TSLA","958.38",6718,"-4.86","Auto"
422,"2024-04-01","MSFT","140.45",8396,"-3.08","Auto"
423,"2024-05-05","GOOG","939.25",8755,"0.63","Tech"
424,"2024-04-11","TSLA","873.32",5960,"-0.27","Tech"
425,"2024-02-06","MSFT","173.27",1686,"4.52","Tech"
426,"2024-04-13","MSFT","995.42",9930,"4.45","Tech"
427,"2024-01-04","TSLA","433.40",4893,"4.76","Tech"
428,"2024-05-02","AAPL","379.45",6183,"-1.56","Tech"
429,"2024-06-13","MSFT","345.95",7083,"-3.07","Tech"
